time_s,x_vel,y_vel,z_vel
3.0751016669964883,0.0,0.0,0.0
3.577702333976049,0.14363526,2.6685638e-07,-0.5134133
3.7684073749987874,0.12916683,1.1431637e-07,-1.0682564
3.960151583974948,0.14495249,1.7159809e-07,0.20983243
4.132612041983521,0.14727138,-0.00010233749,0.05834177
4.307624874985777,0.1547178,-1.1234899e-06,-0.17012267
4.480694625002798,0.1522813,-6.590679e-07,-0.042446703
4.657606291992124,0.1511745,-1.291506e-07,-0.006563425
4.829910749976989,0.14834237,8.538085e-06,0.0067398995
5.011390792002203,0.14232728,-4.8826473e-06,0.01838465
5.186621959001059,-0.050401367,8.389475e-05,-0.11034304
5.360560959001305,-0.00019838492,0.000119124285,-0.0010460021
5.534278374980204,0.00013577551,1.8583292e-05,-7.2030074e-05
5.712313833995722,9.797413e-05,2.2145896e-05,-0.00012332165
5.897075583983678,0.00040163234,1.862898e-05,0.00057860353
6.084011083992664,0.00043402094,-5.4598727e-06,0.00064798835
6.263545750000048,9.97169e-05,2.4211038e-05,-0.00016261925
6.4461695840000175,5.590061e-05,2.3915287e-05,-0.00025552802
6.6206437919754535,6.0214472e-05,2.4110645e-05,-0.00019484908
6.795253499993123,3.4518005e-05,2.0183339e-05,-0.00024799054
6.980874208995374,8.653052e-05,2.3472352e-05,-0.00014033855
7.167264541989425,3.641696e-05,1.9705012e-05,-0.00024373288
7.351275374996476,0.000114464085,2.4571704e-05,-8.3290506e-05
7.525064541987376,0.00032884296,1.2919752e-05,0.0003805915
7.698603583994554,0.00035239215,1.6740096e-05,0.00047763414
7.873091708985157,0.000384184,1.1357741e-05,0.00049682905
8.04644979198929,0.00035631945,1.7010483e-05,0.00048560047
8.225370624975767,6.4312604e-05,2.1899441e-05,-0.000238674
8.399980499991216,0.00010358996,1.8192239e-05,-0.00010405497
8.574168791994452,0.00013938462,2.3440223e-05,-2.9103787e-05
8.748731874977238,3.980233e-05,2.1773596e-05,-0.00023637661
8.920208625000669,-6.9458474e-07,2.0290234e-05,-0.0003288583
9.092888041981496,0.00010104076,2.2168242e-05,-0.00010938979
9.279223833989818,0.00036185747,4.0748123e-06,0.00049580436
9.447916666977108,3.002166e-05,1.9095109e-05,-0.00026090755
9.620347458985634,8.996474e-05,1.90729e-05,-0.00013658906
9.792033249977976,0.0001526069,2.0467878e-05,-1.8709397e-06
9.97222129200236,0.00039790856,1.0294954e-05,0.00052836875
10.156798541982425,6.353525e-05,1.6693664e-05,-0.00018713421
10.345797416986898,0.00010522121,2.1251955e-05,-9.967736e-05
10.518560458993306,0.00036321397,3.4791226e-06,0.0004997307
10.693272999982582,2.9414847e-05,1.8762212e-05,-0.00026325983
10.866322416986804,4.220464e-05,1.9578756e-05,-0.00023753292
11.040973541996209,0.00010313276,1.4391493e-05,-0.000102925274
11.216606709000189,0.000106512525,1.990316e-05,-9.686958e-05
11.41191629198147,-6.7249603e-06,1.878756e-05,-0.00033840272
11.594860791985411,-2.1458683e-05,2.0800875e-05,-0.0004205665
11.767978458985453,3.626578e-05,1.8786426e-05,-0.0002477704
11.961318499990739,0.00010197667,1.3996842e-05,-0.000103814695
12.135705083986977,0.00010563826,1.9903435e-05,-9.736554e-05
12.314485249982681,0.0001339628,1.5177738e-05,-4.097045e-05
12.552180416998453,-0.007106978,-1.2280543e-06,0.021462701
12.781709333998151,-0.015416172,-2.6411446e-06,0.044231407
12.988392583996756,-0.025420245,-4.344409e-06,0.06880032
13.19710550000309,-0.037647344,-6.427803e-06,0.09541283
13.412449833995197,-0.05279108,-9.005429e-06,0.12433551
13.622868459002348,-0.07176924,-1.22428e-05,0.15583943
13.859752041986212,-0.09580712,-1.6333426e-05,0.19016916
14.078861208981834,-0.12655255,-2.1570004e-05,0.22748247
14.301045166997937,-0.16623428,-2.8323626e-05,0.2677375
14.530520708998665,-0.21787052,-3.711787e-05,0.3104689
14.763728041987633,-0.28556272,-4.8606875e-05,0.35448214
14.994023958977778,-0.376563,-6.407743e-05,0.39853546
15.221671166975284,-0.50302285,-8.55727e-05,0.43947342
15.473897041985765,-0.6812143,-0.00011582225,0.46650457
15.714162249991205,-0.93327665,-0.00015848354,0.4546388
15.951169541978743,-1.2847724,-0.0002179363,0.3490116
16.200366249977378,-1.7551045,-0.0002974469,0.031226002
16.454556333977962,-2.2348547,-0.0003783258,-0.7216989
16.718078042002162,-1.0335168,-0.00017501313,0.033750914
16.963898083980894,-1.3663956,-0.00023166944,-0.5967016
17.21840491698822,-1.223351,-0.00020806775,-1.3026868
17.462958499992965,-0.5133271,-8.8521614e-05,-2.060324
17.71379470897955,0.0011919322,1.3470682e-07,0.2676015
17.96813850000035,0.0019245439,3.069202e-07,0.054755364
18.219195999990916,-0.0015508113,-2.7638524e-07,-0.051577624
18.478372124984162,-0.00071420486,-1.2143107e-07,-0.076979816
18.746151083993027,0.0002712092,3.6220236e-08,0.0055151684
19.009891249996144,0.0016035966,2.7057249e-07,0.020564662
19.273376083991025,0.003089288,5.209893e-07,0.035526022
19.562161124980776,0.0048679505,8.245675e-07,0.050800484
19.84450420900248,0.0070890235,1.2014068e-06,0.06670382
20.12364483397687,0.009913669,1.6778454e-06,0.08338154
20.40630908397725,0.013556746,2.2954468e-06,0.10112998
20.68332849998842,0.018252328,3.0929968e-06,0.120176554
20.97483145899605,0.024321113,4.116644e-06,0.1409005
21.266217500000494,0.032211874,5.4522807e-06,0.1638407
21.57042845900287,0.042550433,7.2089197e-06,0.1896638
21.882017500000075,0.056249145,9.526967e-06,0.21925823
22.1915358749975,0.074665874,1.265085e-05,0.25377917
22.50840220900136,0.09983007,1.6913475e-05,0.29462352
22.833742499991786,0.13484931,2.2853521e-05,0.34346932
23.16836445897934,0.18462086,3.1257896e-05,0.4022993
23.481764791999012,0.2569598,4.3553344e-05,0.47301936
23.812134666979546,0.36455715,6.1775325e-05,0.55652577
24.152874708990566,0.52822995,8.952629e-05,0.6501034
24.483793749997858,0.78184724,0.00013258762,0.74054146
24.81387199999881,1.1783307,0.00020006718,0.78702676
25.1741838750022,1.7867398,0.0003039535,0.67827886
25.52383129199734,2.636662,0.00044981643,0.14086531
25.87380241698702,3.4506462,0.00059010804,-1.3767533
26.22656083398033,2.8618286,0.00048652216,-4.3734746
26.591194791981252,-0.73201585,-0.0001277902,-2.2077563
26.940607166994596,-0.17771357,-0.00024973217,0.16624081
27.288776959001552,-0.042078976,-0.00020558899,0.053720564
27.639986624999437,0.012698552,6.1907594e-05,0.004871145
27.99789274999057,0.016229931,-8.6478e-06,0.00080822036
28.36664229197777,0.0166905,-1.0728872e-06,0.00044200942
28.727174208994256,0.016960483,2.2298332e-06,0.0004245527
29.105344624986174,0.017150875,3.437176e-07,0.0004395619
29.550541958975373,0.017289808,7.692982e-07,0.00045388937
29.99419654198573,0.01737346,7.6872254e-07,0.00044653565
30.432445708982414,0.02343801,4.20236e-06,0.02587964
30.83122866699705,0.023480209,4.194206e-06,0.009553604
31.213226791995112,0.0037758239,2.8106138e-07,-0.11105006
31.614355458994396,0.019320022,1.4855461e-06,-0.08345859
32.013558708975324,0.061012127,8.107745e-06,0.057629317
32.408539083990036,0.035893865,2.516169e-06,-0.095864
32.78632062498946,0.031405717,2.186851e-06,-0.117984205
33.18278637499316,0.059346683,4.4336275e-06,0.23445594
33.58311524998862,0.03473555,2.6005137e-06,0.16752823
34.09890566699323,0.027370496,2.0718674e-06,0.16782755
34.55318049999187,0.020145277,1.511383e-06,0.17328654
34.96310908399755,0.012100505,8.9128855e-07,0.160634
35.36385383398738,0.00546989,4.172421e-07,0.13093626
35.76414941699477,0.0014324451,1.12027514e-07,0.08841076
36.172140583978035,-0.00015182358,-8.415615e-10,0.04115695
36.58212112498586,-0.00040249445,-2.4338858e-08,-0.0058949105
36.99442158397869,-0.0006518612,-4.8322676e-08,-0.05197781
37.404717041994445,-0.0008648668,-5.99733e-08,-0.06707165
37.831311708985595,-0.0038369691,-2.881932e-07,-0.10526678
